player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Trainer, Martin",0.329,32,0.030,144,-0.854,384,-0.466,339,-0.960,313,6.584,93,-0.087,392
"Hoffman, Charley",-0.119,291,-0.067,210,-0.122,198,-0.241,258,-0.549,237,6.564,94,-0.054,341
"Spieth, Jordan",0.038,167,0.260,10,0.545,18,0.373,47,1.215,18,6.518,95,-0.031,265
"Guerrier, Julien",0.236,60,-0.032,191,-0.613,359,0.130,116,-0.278,193,6.424,96,-0.025,252
"Fowler, Rickie",0.032,171,0.145,60,0.071,120,-0.190,240,0.058,125,6.422,97,0.006,165
"Waring, Paul",-0.358,388,-0.290,381,-0.270,265,0.051,145,-0.867,295,6.274,98,-0.031,266
"Straka, Sepp",0.265,49,0.043,132,0.137,96,0.247,82,0.691,50,6.137,99,0.007,162
"Cuartero Blanco, Emilio",-0.155,316,-0.270,373,-1.046,401,-0.079,197,-1.550,371,6.129,100,-0.079,380
"Frittelli, Dylan",0.002,192,0.101,86,0.168,89,0.059,142,0.330,99,6.082,101,-0.068,359
"Palmer, Ryan",-0.108,278,-0.035,195,0.157,91,0.340,54,0.354,95,6.050,102,-0.004,192
"Watson, Bubba",-0.068,245,-0.007,169,0.239,68,0.584,13,0.749,48,5.919,103,0.003,176
"Wise, Aaron",-0.089,263,0.122,74,0.526,21,0.403,37,0.963,34,5.830,104,0.016,135
"Lewis, Tom",-0.396,397,-0.339,397,-0.388,294,-0.170,229,-1.293,354,5.803,105,-0.041,305
"Jordan, Matthew",-0.024,207,0.091,89,-0.403,297,0.095,128,-0.240,183,5.735,106,-0.060,348
"McNealy, Maverick",0.288,43,0.041,135,0.262,64,0.355,50,0.946,36,5.723,107,0.007,164
"Day, Jason",0.210,73,0.257,12,0.098,109,0.083,131,0.647,55,5.718,108,-0.009,206
"Cink, Stewart",-0.010,198,-0.126,266,0.170,86,-0.088,200,-0.054,149,5.575,109,-0.037,296
"Hend, Scott",-0.507,407,-0.232,347,-0.763,375,-0.413,318,-1.915,386,5.527,110,-0.081,386
"Smotherman, Austin",-0.147,312,-0.267,372,0.121,101,0.262,72,-0.031,144,5.497,111,0.043,64
"Lombard, Zander",-0.458,404,-0.108,250,-0.159,211,-0.139,217,-0.863,294,5.474,112,-0.055,343
"Li, Haotong",0.261,50,-0.104,244,-0.165,214,-0.646,365,-0.654,261,5.458,113,-0.104,405
"Hatton, Tyrrell",0.406,13,0.205,23,0.348,48,0.126,120,1.085,26,5.429,114,-0.037,297
"Ros, Pep Angles",-0.064,241,-0.216,335,-0.868,389,-0.411,317,-1.558,372,5.428,115,-0.072,371
"Matsuyama, Hideki",0.003,191,0.232,16,0.882,2,0.494,23,1.612,6,5.302,116,0.024,113
"Vincent, Scott",0.211,70,-0.306,387,-0.798,377,-0.056,186,-0.949,308,5.274,117,-0.017,234
"McLeod, Jake",0.129,120,-0.418,415,-1.292,413,-0.174,230,-1.754,382,5.247,118,-0.079,383
"Langasque, Romain",-0.061,239,-0.097,238,0.074,117,0.092,130,0.009,135,5.170,119,-0.035,282
"Paratore, Renato",0.276,46,0.043,131,-0.999,397,-1.245,409,-1.924,387,5.125,120,-0.137,416
"Jones, Matt",-0.124,297,0.313,3,0.029,138,0.251,80,0.469,76,5.049,121,-0.049,328
"Watney, Nick",-0.076,251,-0.149,288,-0.084,183,-0.352,296,-0.661,265,5.046,122,-0.040,304
"Schenk, Adam",0.068,153,-0.147,285,-0.056,172,0.019,160,-0.116,161,4.802,123,-0.025,250
"Kruyswijk, Jacques",0.022,176,-0.035,196,-0.812,380,0.253,78,-0.573,246,4.785,124,-0.016,225
"Fleetwood, Tommy",0.222,64,0.140,62,0.345,49,0.286,68,0.993,32,4.767,125,-0.004,193
"Bekker, Oliver",0.202,76,0.042,133,-0.102,191,0.241,84,0.383,91,4.597,126,-0.029,257
"Pereira, Mito",-0.020,205,0.010,157,0.438,32,0.483,24,0.910,38,4.567,127,0.029,97
"Lowry, Shane",0.246,57,0.195,31,0.745,8,0.374,46,1.562,8,4.487,128,0.017,132
"Ortiz, Carlos",-0.022,206,-0.086,222,0.212,73,0.106,124,0.210,110,4.481,129,-0.017,229
"Pavon, Matthieu",-0.080,255,-0.120,261,-0.173,218,0.227,91,-0.146,168,4.440,130,-0.018,238
"Saddier, Adrien",-0.050,227,-0.160,297,-0.219,238,-0.454,334,-0.883,297,4.430,131,-0.051,337
"Migliozzi, Guido",-0.052,231,-0.211,333,-0.441,312,-0.352,297,-1.056,330,4.417,132,-0.051,334
"Lawrence, Thriston",0.104,134,-0.266,370,-0.211,233,0.251,79,-0.122,162,4.392,133,-0.030,261
"Theegala, Sahith",-0.013,199,0.067,109,0.068,122,0.065,139,0.186,112,4.342,134,-0.040,303
"Porteous, Garrick",-0.333,383,-0.355,402,-0.485,327,0.283,70,-0.890,299,4.338,135,-0.010,210
"Moore, Taylor",-0.124,298,0.057,118,0.040,133,0.317,59,0.291,104,4.148,136,0.011,152
"Von Dellingshausen, Nicolai",-0.206,336,-0.205,329,-0.293,271,-0.238,256,-0.942,307,4.109,137,-0.049,326
"Perez, Victor",0.092,138,-0.360,405,0.089,112,-0.204,245,-0.383,205,3.781,138,-0.059,347
"Whaley, Vincent",0.194,78,0.035,138,-0.254,260,0.022,158,-0.003,138,3.750,139,-0.072,370
"Dunne, Paul",0.285,44,0.203,24,-1.362,414,-1.187,407,-2.061,395,3.711,140,-0.152,417
"Schmitt, Max",-0.069,246,-0.199,322,-0.386,293,-0.395,313,-1.050,327,3.689,141,-0.071,367
"Van Rooyen, Erik",0.123,126,-0.057,206,0.353,47,0.254,77,0.673,52,3.654,142,0.036,82
"Griffin, Lanto",0.070,150,-0.131,274,0.355,46,0.362,48,0.657,53,3.614,143,0.002,177
"Macintyre, Robert",0.082,144,0.113,80,0.091,111,0.077,134,0.363,93,3.603,144,-0.011,214
"Valimaki, Sami",0.153,100,-0.417,414,-0.487,329,-0.348,295,-1.099,334,3.593,145,-0.020,240
"Gooch, Talor",0.253,54,0.257,11,0.450,30,-0.026,176,0.935,37,3.546,146,0.013,146
"Power, Seamus",0.329,33,0.169,45,0.205,75,0.343,53,1.046,28,3.536,147,0.004,171
"Gavins, Daniel",-0.266,355,0.028,147,0.101,107,-0.427,322,-0.564,242,3.534,148,-0.058,345
"Quiros, Alvaro",-0.273,359,-0.285,377,-0.560,348,-0.485,343,-1.603,377,3.516,149,-0.083,388
"Fitzpatrick, Matthew",0.474,5,0.177,38,0.313,53,0.574,15,1.537,11,3.455,150,0.046,60
"Varner III, Harold",0.220,65,0.206,21,0.497,22,0.082,132,1.005,30,3.452,151,-0.020,242
"Morikawa, Collin",0.020,177,-0.009,171,0.828,4,0.703,7,1.543,10,3.297,152,0.088,11
"Leishman, Marc",0.147,104,0.089,92,0.281,58,-0.017,172,0.500,73,3.280,153,-0.025,249
"Stallings, Scott",0.179,82,0.035,137,0.136,97,-0.086,199,0.265,107,3.186,154,-0.036,288
"Kizzire, Patton",0.091,139,0.054,121,0.238,69,-0.025,174,0.358,94,3.053,155,-0.035,284
"Smith, Cameron",0.571,3,0.283,7,0.746,7,-0.024,173,1.575,7,3.052,156,-0.034,277
"Grillo, Emiliano",-0.114,285,-0.204,327,0.019,143,0.184,105,-0.114,160,3.022,157,0.047,55
"Veerman, Johannes",0.177,84,-0.186,311,-0.370,291,0.080,133,-0.299,199,2.997,158,-0.013,220
"Mickelson, Phil",-0.109,280,-0.057,204,-0.419,303,-0.202,242,-0.786,287,2.950,159,-0.048,324
"Johnston, Liam",-0.109,279,-0.319,393,-1.258,411,-1.184,406,-2.869,415,2.907,160,-0.097,400
"Im, Sungjae",0.274,47,0.233,15,0.387,42,0.536,20,1.430,13,2.875,161,0.048,52
"Munoz, Sebastian",0.056,159,0.067,107,0.435,33,0.433,33,0.991,33,2.858,162,0.034,87
"Dubuisson, Victor",-0.139,307,-0.246,357,-0.337,286,0.209,96,-0.513,228,2.836,163,0.026,106
"Armitage, Marcus",-0.276,363,-0.098,239,0.404,41,-0.033,177,-0.003,139,2.744,164,-0.036,292
"O'Hair, Sean",-0.041,222,0.051,124,-0.237,248,-0.063,190,-0.291,198,2.712,165,0.016,136
"Howell III, Charles",-0.114,284,0.211,19,0.054,127,0.312,62,0.463,78,2.615,166,0.005,170
"Hill, Calum",0.398,14,-0.121,262,-0.261,263,-0.282,277,-0.265,187,2.557,167,-0.021,243
"Wilson, Oliver",-0.053,232,0.106,84,-0.556,347,-0.098,201,-0.602,253,2.468,168,-0.070,364
"Schwartzel, Charl",-0.106,275,0.150,58,0.089,113,-0.203,243,-0.070,153,2.434,169,-0.040,302
"Broberg, Kristoffer",-0.501,405,-0.316,390,0.040,134,0.016,161,-0.761,283,2.345,170,-0.031,264
"Helligkilde, Marcus",-0.058,235,-0.036,197,-0.645,365,0.194,100,-0.544,234,2.342,171,-0.070,362
"Harrington, Padraig",-0.267,356,0.083,98,-0.052,170,-0.038,178,-0.275,192,2.324,172,0.009,157
"Hadley, Chesson",0.147,105,-0.182,306,-0.437,307,-0.664,368,-1.136,340,2.059,173,-0.050,333
"Rose, Justin",0.215,68,-0.029,190,0.062,124,0.166,108,0.414,84,1.971,174,0.021,123
"Conners, Corey",0.071,149,0.047,127,0.544,19,0.715,4,1.377,14,1.891,175,0.069,26
"Wallace, Matt",-0.216,340,-0.034,194,-0.128,201,-0.481,341,-0.860,293,1.777,176,-0.035,283
"Johnston, Andrew",-0.278,365,-0.092,231,-0.005,150,0.215,94,-0.160,172,1.706,177,0.017,133
"Tringale, Cameron",0.196,77,0.180,36,0.408,39,-0.175,231,0.609,62,1.653,178,0.000,182
"English, Harris",0.369,21,0.242,13,0.053,128,-0.314,285,0.351,96,1.553,179,0.006,166
"Hanna, Chase",0.303,39,-0.128,268,-0.496,334,-0.364,299,-0.685,269,1.341,180,-0.071,365
"Lee, Danny",-0.237,345,-0.242,354,0.041,131,0.202,98,-0.235,182,1.303,181,-0.011,215
"Wu, Dylan",0.137,113,-0.088,226,-0.341,288,-0.211,248,-0.503,227,1.287,182,-0.018,237
"Garcia Rodriguez, Sebastian",-0.038,217,-0.160,296,-0.642,364,-0.045,181,-0.884,298,1.266,183,-0.080,384
"Lee, Kyounghoon",0.113,133,0.085,97,0.133,99,0.286,67,0.617,59,1.264,184,0.035,86
"Walters, Justin",-0.196,334,-0.383,408,0.035,136,0.056,143,-0.487,220,1.239,185,0.002,178
"Lagergren, Joakim",0.347,27,-0.374,406,-0.962,395,-0.392,310,-1.382,359,1.141,186,-0.088,393
"Noren, Alex",0.377,17,0.202,26,0.254,66,0.126,119,0.959,35,1.137,187,0.014,144
"Willett, Danny",0.068,152,0.174,40,-0.089,188,-0.103,204,0.051,127,1.126,188,-0.016,226
"Hansen, Joachim B",0.123,125,-0.235,350,-0.169,215,-0.117,208,-0.397,208,1.099,189,-0.043,309
"Higgs, Harry",0.207,75,0.089,93,-0.214,234,-0.126,211,-0.044,148,1.018,190,-0.035,285
"Samooja, Kalle",0.157,97,-0.247,358,-0.437,308,-0.273,271,-0.800,288,1.006,191,-0.030,260
"Leon, Hugo",-0.308,374,0.044,130,-0.493,332,-0.320,286,-1.076,333,0.974,192,-0.070,360
"Warren, Marc",0.007,189,-0.303,386,-1.160,408,-0.864,387,-2.320,402,0.905,193,-0.112,407
"Levy, Alexander",-0.076,252,-0.406,412,-0.541,342,0.030,155,-0.994,321,0.790,194,0.001,180
"Skinns, David",0.007,188,0.033,141,-0.225,241,-0.455,335,-0.639,259,0.778,195,-0.079,381
"Burgoon, Bronson",-0.133,303,-0.084,221,-0.302,275,-0.454,333,-0.973,318,0.761,196,-0.044,315
"Gallacher, Stephen",-0.164,320,-0.148,286,-0.796,376,-0.436,327,-1.544,370,0.681,197,-0.063,352
"Howie, Craig",-0.042,223,-0.179,305,-0.453,314,0.040,150,-0.634,258,0.665,198,-0.003,190
"Senior, Jack",0.024,175,-0.265,369,-0.603,355,0.060,141,-0.784,286,0.652,199,0.004,173
"Soderberg, Sebastian",-0.150,313,-0.017,177,-0.238,252,-0.489,344,-0.894,300,0.618,200,-0.054,340
"Wiesberger, Bernd",-0.595,415,0.161,52,0.670,12,0.214,95,0.449,79,0.599,201,0.028,100
"Jamieson, Scott",0.352,24,-0.073,215,-0.478,325,-0.223,250,-0.421,215,0.599,202,-0.034,278
"Kim, Si Woo",0.033,169,0.170,43,0.284,57,0.376,44,0.863,40,0.524,203,0.039,75
"Evans, Ben",-0.392,395,-0.155,292,-1.466,417,-0.402,316,-2.414,404,0.460,204,-0.011,213
"Siem, Marcel",-0.196,333,-0.317,391,-0.280,268,-0.145,221,-0.937,305,0.432,205,-0.013,219
"NeSmith, Matthew",-0.139,306,0.000,161,0.408,40,0.276,71,0.545,66,0.428,206,0.046,57
"Hahn, James",-0.145,311,0.032,143,0.102,105,0.255,76,0.244,108,0.380,207,0.039,72
"Berger, Daniel",0.148,103,0.138,64,0.640,16,0.234,86,1.160,22,0.302,208,0.053,44
"Lieser, Ondrej",-0.350,387,-0.173,301,-0.847,383,-0.227,252,-1.597,376,0.138,209,-0.043,313
"Poston, J.T.",0.216,67,0.060,114,-0.142,207,0.261,73,0.395,88,0.123,210,0.014,142
"Buckley, Hayden",-0.303,372,-0.262,368,-0.082,182,0.377,43,-0.271,190,0.059,211,0.053,45
"Streb, Robert",0.016,181,0.047,126,-0.118,196,-0.076,195,-0.131,164,-0.310,212,-0.014,221
"Gligic, Michael",-0.120,292,-0.094,233,-0.290,269,-0.056,185,-0.560,240,-0.365,213,-0.034,279
"Oosthuizen, Louis",0.210,71,0.202,25,0.252,67,0.396,39,1.061,27,-0.468,214,0.048,53
"Novak, Andrew",-0.118,288,0.075,104,0.064,123,-0.169,228,-0.148,169,-0.475,215,-0.036,294
"Sordet, Clement",0.015,184,-0.018,178,-0.300,273,-0.246,261,-0.550,238,-0.523,216,-0.042,307
"Hughes, Mackenzie",0.363,23,0.179,37,-0.029,159,-0.145,220,0.368,92,-0.551,217,-0.033,275
"Laird, Martin",-0.332,381,-0.039,199,0.169,88,0.165,109,-0.037,146,-0.684,218,0.090,10
"Campillo, Jorge",0.051,162,-0.161,298,-0.174,219,-0.126,210,-0.410,209,-0.689,219,-0.000,183
"Baldwin, Matthew",-0.408,398,-0.286,378,-0.467,321,-0.155,225,-1.317,356,-0.797,220,0.008,159
"Lahiri, Anirban",0.098,137,0.115,77,-0.071,178,0.335,55,0.477,74,-0.855,221,0.012,148
"Olesen, Thorbjorn",0.344,28,-0.128,269,-0.073,179,-0.320,287,-0.177,174,-0.906,222,-0.033,274
"Hodges, Lee",-0.217,341,-0.009,172,-0.023,156,0.071,135,-0.178,175,-0.909,223,0.020,125
"Southgate, Matthew",-0.340,384,-0.512,417,-0.249,259,-0.129,212,-1.230,348,-1.035,224,0.022,118
"Karlberg, Rikard",-0.100,271,-0.136,277,-0.861,387,-0.803,382,-1.901,385,-1.291,225,-0.064,355
"Piercy, Scott",-0.059,236,0.083,99,-0.092,190,0.007,163,-0.061,151,-1.332,226,-0.017,233
"Chang, Yikeun",-0.051,230,-0.287,379,-1.004,398,-0.899,392,-2.241,400,-1.386,227,-0.092,397
"Taylor, Nick",-0.048,226,0.025,149,0.171,84,0.055,144,0.204,111,-1.416,228,0.010,154
"Norris, Shaun",0.612,1,-0.318,392,-0.220,240,-0.531,351,-0.458,218,-1.512,229,-0.043,311
"Van Tonder, Daniel",-0.086,261,0.150,57,-0.475,323,0.062,140,-0.348,203,-1.518,230,-0.032,271
"Suri, Julian",0.129,121,0.201,28,-1.068,402,-0.508,346,-1.245,350,-1.669,231,-0.051,336
"Elvira Mijares, Ignacio",-0.101,272,-0.040,200,-0.241,255,-0.185,238,-0.568,244,-1.695,232,-0.002,187
"Hoge, Tom",-0.039,220,0.111,81,0.446,31,0.310,63,0.829,43,-1.700,233,0.041,69
"Porteous, Haydn",-0.201,335,-0.066,209,-1.223,410,-1.576,413,-3.066,416,-1.737,234,-0.123,413
"Pan, C.T.",-0.027,211,0.123,72,0.320,52,0.199,99,0.615,60,-1.842,235,0.037,78
"Lorenzo-Vera, Michael",-0.019,204,-0.059,207,-0.454,315,-0.434,325,-0.967,317,-1.895,236,-0.042,308
"Syme, Connor",0.116,131,-0.290,380,-0.236,246,-0.136,216,-0.546,235,-2.057,237,0.011,150
"Simpson, Webb",0.081,145,0.197,29,0.178,81,-0.016,170,0.440,81,-2.058,238,0.035,85
"Grace, Branden",-0.116,286,0.113,79,0.073,118,0.112,123,0.184,114,-2.059,239,-0.015,224
"Horschel, Billy",0.309,37,0.081,101,0.291,54,0.334,56,1.015,29,-2.109,240,0.064,31
"Kirk, Chris",-0.102,273,0.197,30,0.337,51,0.320,58,0.752,46,-2.181,241,0.041,67
"Henley, Russell",0.029,172,0.138,63,0.753,6,0.188,104,1.109,25,-2.200,242,0.061,34
"Redman, Doc",0.016,180,-0.201,324,0.104,104,-0.130,213,-0.211,181,-2.214,243,0.023,115
"Ghim, Doug",-0.187,327,0.079,103,0.435,34,0.297,65,0.624,58,-2.311,244,0.067,30
