player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev,
"Palmer, Ryan",150,32958,23752,-0.278,
"Bekker, Oliver",150,33798,27796,0,
"Kizzire, Patton",150,33798,27796,0,
"Wiesberger, Bernd",150,36264,29690,-0.181,
"Jones, Matt",150,36937,29690,-0.196,
"Kisner, Kevin",150,38735,18396,-0.524,
"Canter, Laurie",150,41137,27796,0,
"Burmester, Dean",150,41137,24025,0,
"Reed, Patrick",150,41567,8693,-0.789,
"Molinari, Francesco",150,42453,23752,-0.439,
"Hughes, Mackenzie",150,43378,29077,-0.329,
"Steele, Brendan",150,44344,34230,0,
"Ortiz, Carlos",150,44844,23752,-0.469,
"Fowler, Rickie",150,48680,9397,-0.805,
"Stallings, Scott",150,49900,28696,0,
"Harding, Justin",150,50533,34230,0,
"Herbert, Lucas",150,50533,35336,0,
"Glover, Lucas",150,50533,32960,0,
"Larrazabal, Pablo",150,51848,40480,0,
"Stenson, Henrik",150,51848,29690,-0.427,
"Arnaus, Adri",150,51848,29658,0,
"Lee, Min Woo",150,51848,44571,0,
"Grace, Branden",150,53233,20781,-0.608,
"Cink, Stewart",150,53954,29690,-0.449,
"Poulter, Ian",150,55456,20781,-0.624,
"Hoshino, Rikuya",150,61438,46890,0,
"Streelman, Kevin",150,61438,29690,-0.516,
"Hickok, Kramer",150,62400,40480,0,
"Kim, Joohyung",150,68866,46890,0,
"Higgs, Harry",150,75372,52415,0,
"Ramey, Chad",150,76823,37103,0,
"Swafford, Hudson",150,78331,55693,0,
"Westwood, Lee",150,79900,15536,-0.805,
"Kanaya, Takumi",150,85006,74286,0,
"Hossler, Beau",150,88789,47145,0,
"Hojgaard, Nicolai",150,92923,46890,0,
"Schwartzel, Charl",150,92923,23576,-0.745,
"Schenk, Adam",150,105163,55693,0,
"Harrington, Padraig",150,128932,63666,0,
"Kaymer, Martin",150,137831,29690,-0.784,
"Johnson, Zach",150,137831,29690,-0.784,
"Wolff, Matthew",150,153746,14295,-0.906,
"Bland, Richard",150,153746,32960,0,
"Inamori, Yuki",150,166567,81048,0,
"Van Tonder, Daniel",150,173813,59416,0,
"Norris, Shaun",150,181718,63666,0,
"Brehm, Ryan",150,Inf,0,0,
"Kim, Bio",150,Inf,89154,0,
"Higgo, Garrick",150,Inf,10187,-0.959,
"Kinoshita, Ryosuke",150,Inf,0,0,
"Kaewkanjana, Sadom",150,Inf,63666,0,
"Kim, Chan",150,Inf,99066,0,
"Dufner, Jason",150,Inf,0,0,
"Kozuma, Jinichiro",150,Inf,0,0,
"Cejka, Alex",150,Inf,0,0,
"Mueller, Jesse",12,Inf,0,0,
"Mendoza, Kyle",7,Inf,0,0,
"McCarty, Sean",7,Inf,0,0,
"Collet, Tyler",4,Inf,0,0,
"Bingaman, Brandon",0,,0,0,
"Feenstra, Tim",0,,0,0,
"Hurt, Austin",0,,0,0,
"Jones, Jared",0,,0,0,
"Pyne, Casey",6,,0,0,
"Inglis, Colin",0,,0,0,
"Newman, Dylan",0,,0,0,
"Daly, John",150,,0,0,
"Worthington II, Wyatt",4,,0,0,
"Ishee, Nic",0,,0,0,
"Warren, Shawn",8,,0,0,
"Borchert, Matthew",8,,0,0,
"Block, Michael",46,,0,0,
"Dickinson, Paul",0,,0,0,
"Vermeer, Ryan",32,,0,0,
"Yang, Y.E.",150,,0,0,
"Beem, Rich",84,,0,0,
"Micheel, Shaun",150,,0,0,
"Beach, Alex",20,,0,0,
"Oakley, Zac",0,,0,0,
